id,name,category,latitude,longitude,description,capacity_baseline,transit_weight,tourist_weight,geojson
MAA_CENTRAL_STATION,Puratchi Thalaivar Dr. M.G.R. Central & Metro Hub,transit_hub,13.0827,80.2755,"Premier multi-modal transport gateway connecting Southern Railway mainlines, Chennai Central Metro underground interchange, and suburban EMU trains.",12000,0.9,0.65,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.2755, 13.0827]}, ""properties"": {""id"": ""MAA_CENTRAL_STATION"", ""name"": ""Puratchi Thalaivar Dr. M.G.R. Central & Metro Hub"", ""category"": ""transit_hub""}}"
MAA_MARINA_BEACH,Marina Beach & Light House Promenade,tourist_attraction,13.05,80.2824,"World's second longest natural urban beach along the Bay of Bengal, drawing massive evening leisure crowds, carnival vendors, and coastal tourists.",15000,0.35,0.98,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.2824, 13.05]}, ""properties"": {""id"": ""MAA_MARINA_BEACH"", ""name"": ""Marina Beach & Light House Promenade"", ""category"": ""tourist_attraction""}}"
MAA_T_NAGAR_RANGANATHAN,T. Nagar Ranganathan Street & Panagal Park,commercial_hub,13.0405,80.2337,"India's highest-revenue retail hub and silk-gold shopping corridor, directly linked to Mambalam Suburban Railway Station and MTC bus terminus.",14000,0.75,0.9,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.2337, 13.0405]}, ""properties"": {""id"": ""MAA_T_NAGAR_RANGANATHAN"", ""name"": ""T. Nagar Ranganathan Street & Panagal Park"", ""category"": ""commercial_hub""}}"
MAA_MYLAPORE_KAPALEESHWARAR,Mylapore Kapaleeshwarar Temple & Tank,cultural_hub,13.0335,80.269,"7th-century Dravidian architectural masterpiece, cultural epicenter for Carnatic music, spiritual pilgrimages, and historic tank festival gatherings.",7500,0.45,0.95,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.269, 13.0335]}, ""properties"": {""id"": ""MAA_MYLAPORE_KAPALEESHWARAR"", ""name"": ""Mylapore Kapaleeshwarar Temple & Tank"", ""category"": ""cultural_hub""}}"
MAA_EGMORE_STATION,Chennai Egmore Junction & Government Museum,transit_hub,13.0784,80.2612,"Gothic-style railway terminus for southern Tamil Nadu trains, integrated with Chennai Egmore Metro and nearby State Museum complex.",9500,0.85,0.6,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.2612, 13.0784]}, ""properties"": {""id"": ""MAA_EGMORE_STATION"", ""name"": ""Chennai Egmore Junction & Government Museum"", ""category"": ""transit_hub""}}"
MAA_BESANT_NAGAR_ELLIOTS,Besant Nagar Elliot's Beach & Church,leisure_hotspot,12.9995,80.2715,"Picturesque south Chennai coastline with Schmidt Memorial, Velankanni Shrine, vibrant promenade cafes, and weekend youth recreational crowds.",8000,0.3,0.88,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.2715, 12.9995]}, ""properties"": {""id"": ""MAA_BESANT_NAGAR_ELLIOTS"", ""name"": ""Besant Nagar Elliot's Beach & Church"", ""category"": ""leisure_hotspot""}}"
MAA_GUINDY_INTERMODAL,Guindy Intermodal Hub & National Park,hybrid_hub,13.0067,80.2126,"Major southern transit convergence linking CMRL Metro, suburban EMU, and MTC buses with Guindy National Park and industrial corridors.",11000,0.88,0.55,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.2126, 13.0067]}, ""properties"": {""id"": ""MAA_GUINDY_INTERMODAL"", ""name"": ""Guindy Intermodal Hub & National Park"", ""category"": ""hybrid_hub""}}"
MAA_AIRPORT_MEENAMBAKKAM,Chennai International Airport & Metro Terminal,transit_hub,12.9815,80.1636,"International & domestic aviation gateway directly integrated with CMRL Blue Line terminal station, managing high intercity passenger flows.",8500,0.85,0.7,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.1636, 12.9815]}, ""properties"": {""id"": ""MAA_AIRPORT_MEENAMBAKKAM"", ""name"": ""Chennai International Airport & Metro Terminal"", ""category"": ""transit_hub""}}"
MAA_KATHIPARA_JUNCTION,Kathipara Urban Square & Alandur Interchange,hybrid_hub,13.0076,80.2018,Asia's largest cloverleaf interchange and key CMRL Blue/Green bidirectional elevated metro interchange with multimodal public plazas.,10500,0.9,0.45,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.2018, 13.0076]}, ""properties"": {""id"": ""MAA_KATHIPARA_JUNCTION"", ""name"": ""Kathipara Urban Square & Alandur Interchange"", ""category"": ""hybrid_hub""}}"
MAA_SANTHOME_BASILICA,San Thome Cathedral Basilica & Coast,cultural_attraction,13.0336,80.2785,"Historic 16th-century Portuguese neo-Gothic Catholic cathedral built over the tomb of St. Thomas Apostle, prominent coastal heritage corridor.",6500,0.35,0.92,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.2785, 13.0336]}, ""properties"": {""id"": ""MAA_SANTHOME_BASILICA"", ""name"": ""San Thome Cathedral Basilica & Coast"", ""category"": ""cultural_attraction""}}"
MAA_KOYAMBEDU_CMBT,Koyambedu CMBT & Wholesale Market Hub,transit_hub,13.0694,80.1948,"One of Asia's largest intercity bus terminus complexes, Koyambedu perishable goods market, and CMRL Green line metro station.",13500,0.92,0.4,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.1948, 13.0694]}, ""properties"": {""id"": ""MAA_KOYAMBEDU_CMBT"", ""name"": ""Koyambedu CMBT & Wholesale Market Hub"", ""category"": ""transit_hub""}}"
MAA_PHOENIX_VELACHERY,Phoenix Marketcity & Velachery MRTS,commercial_hub,12.9918,80.2173,"Premier retail and entertainment lifestyle mall in South Chennai, linked to Velachery MRTS elevated railway terminal and OMR IT expressway.",10000,0.65,0.85,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [80.2173, 12.9918]}, ""properties"": {""id"": ""MAA_PHOENIX_VELACHERY"", ""name"": ""Phoenix Marketcity & Velachery MRTS"", ""category"": ""commercial_hub""}}"
